Text,Score,Cleaned_Text
يعرف الذكاء الاصطناعي العام أيضًا باسم الذكاء الاصطناعي القوي، وهو نوع من أنواع الذكاء الموجود في الآلات والأجهزة الذكية، ويمتاز الذكاء الاصطناعي العام بأنه نوع من الذكاء الموجود في الآلة والتي يكسبها ذكاءً عامًا مثل الإنسان، بحيث يستخدم هذا الذكاء في حل أي مشكلة.[٤],5.0,عرف ذكء صطناع عام ءيض بسم ذكء صطناع قو، نوع ءنواع ذكء وجد ءءل ءجهز ذكية، ماز ذكء صطناع عام بءن نوع ذكء وجد ءءل والتي كسب ذكء عما ءنسان، بحث خدم ذكء مشكلة٤
ومن أمثلة الأجهزة التي تتمتع بالذكاء الاصطناعي العام؛ الروبوتات التي تستخدم لإنجاز مهام عديدة والتي تتخذ قراراتها بناءً على الموقف، ولكن بناء الروبوتات التي تتمتع بذكاء شبيه بالموجود لدى الإنسان لا زال أمرًا صعبًا وبحاجة لبناء شبكات عصبية كبيرة ومعقدة كالموجودة في الدماغ.[٤],8.0,ءمثل ءجهز متع ذكء صطناع عم؛ روبو خدم ءنجاز هام عدد والتي تخذ قرر بنء وقف، بنء روبو متع ذكء شبه وجد ءنس زال ءمر صعب بحج بنء شبك عصب كبر عقد وجد دمغ٤
تعرف الآلات التفاعلية بأنها أبسط مستوى موجود للروبوت، إذ إنّها آلة مصممة للتعامل مع نوع واحد من البيانات والرد على المواقف الحالية فقط،[٥] وهي آلات غير قادرة على إنشاء الذكريات أو استخدام المعلومات الحالية لبناء واتخاذ القرارات المستقبلية للتحسين من مستواها أو تطوير ذكائها، وهي فقط مصممة للرد على الموقف الحالي.[٦],5.0,عرف ءءل فعل بءن ءبسط ستى وجد روبوت، ءنه ءءل صمم عمل نوع بين لرد وقف حلي قط،٥ وهي ءءل قدر ءنشاء ذكر خدم علم حلي بنء تخذ قرر مستقبلية تحس ستا طور ذكاءها، وهي فقط صمم لرد وقف حالي٦
من أمثلة الآلات التفاعلية؛ الآلات المصممة للعب الشطرنج ضد الإنسان مثل (Deep Blue) من (IBM)، حيث إنّ هذه الآلة مصممة للرد على حركات اللاعب من خلال تقييم القطع على رقعة الشطرنج وتحريكها وفقًا لاستراتيجيات اللعب المشفرة لديها.[٥],4.0,ءمثل ءءل تفاعلية؛ ءءل صمم لعب شطرنج ءنس ءءل صمم لرد حرك لعب خلل قيم قطع رقع شطرنج تحر وفق لاستراتيجي لعب شفر ديها٥
تعد آلة الذاكرة المحدودة آلة قادرة على تخزين عدد محدود من المعلومات المبنية على البيانات التي تعاملت معها آلة الذاكرة المحدودة سابقًا، بحيث يمكن لآلة الذاكرة المحدودة بناء المعرفة عن طريق الذاكرة وذلك عند اقترانها مع البيانات المبرمجة مسبقًا لديها.[٥],4.0,تعد ءءل ذكر حدد ءءل قدر تخز عدد حدد علم بنة بين عمل عها ءءل ذكر حدد بق، بحث يمكن ءءل ذكر حدد بنء عرف طرق ذكر وذل قرن بين برمج سبق ديها٥
من أمثلة الآلات التي تستخدم الذاكرة المحدودة؛ السيارات ذاتية القيادة، بحيث تخزن هذه السيارات البيانات المبرمجة مسبقًا مثل؛ الخرائط أو العلامات المرورية، ومقارنة هذه البيانات المخزنة مع المعلومات المحيطة بالسيارة مثل؛ سرعة واتجاهات السيارات القريبة وحركة المشاة جنبًا إلى جنب واتخاذ الإجراء المناسب بناءً على هذه البيانات.[٥],6.0,ءمثل ءءل خدم ذكر محدودة؛ سير ذتي قيادة، بحث تخز سير بين برمج سبق ثل؛ خرءط علم مرورية، قار بين خزن علم حيط سير ثل؛ سرع وتج سير قرب وحر شاة جنب ءلى جنب تخذ ءجراء نسب بنء نت٥
استخدمت نظرية العقل في تصميم الروبوت الشهير صوفيا، وهو روبوت قادر على استخدام المعلومات في التفاعل مع المواقف بطريقة تشبه الإنسان، والتي من شأنها تعليم الآلة أو الروبوت كيفية التصرف في موقف مختلف وجديد.[٥],6.0,خدم نظر عقل صمم روبو شهر صوفيا، روبو قدر خدم علم فعل وقف طرق تشب ءنسان، والتي شءن علم ءءل روبو كيف صرف وقف خلف جديد٥
تستند نظرية العقل في تطوير وتصميم الروبوتات التي تستخدم كروبوتات محادثة إلى العقل البشري الذي يستند إلى المشاعر والأفكار الموجودة لدى الإنسان قبل أن يقوم بعملية اتخاذ القرار، بحيث يقوم روبوت نظرية العقل صوفيا بالتحدث إلى البشر، واستخدام المعلومات والصور في اتخاذ القرار والرد على البشر، بالإضافة إلى إظهار تعبيرات وجهية مبهرة.[٥],7.0,سند نظر عقل طور صمم روبو خدم كروبو حدث ءلى عقل بشر سند ءلى شعر ءفكار وجد ءنس يقم عمل تخذ قرر، بحث يقم روبو نظر عقل صوف حدث ءلى شر، واستخدام علم صور تخذ قرر لرد شر، ءضف ءلى ءظهار عبر وجه مبهرة٥
تعد أجهزة الوعي الذاتي هدفًا نهائيًا لوجود الذكاء الاصطناعي، وهي أجهزة غير موجودة حاليًا، فهذه الآلات لديها وعي بمستوى الإنسان العقلي وتفهم سبب وجودها في هذا العالم، بحيث لا تطلب الآلة شيئًا تحتاجه فحسب، وإنما تفهم أنها بحاجة إلى شيء ما، وهذا يعني أن الآلة تفهم حالتها الداخلية بعمق وتستطيع التنبؤ بمشاعر الآخرين من حولها تمامًا كالبشر.[٥],8.0,تعد ءجهز وعي ذتي هدف نهء وجد ذكء اصطناعي، وهي ءجهز وجد حاليا، فهذ ءءل لدي وعي ستى ءنس عقل وتف سبب وجد عالم، بحث طلب ءءل شيء حاج حسب، وءن فهم ءنه بحج ءلى شيء ما، وهذا يعن ءءل فهم حلت دخل عمق تطع نبء شعر ءءخر حول تما شر٥
على سبيل المثال عندما يصرخ شخص أمامنا فإننا ندرك أنه غاضب، وهذا الاستنتاج مبني على المشاعر التي يشعرها الشخص نفسه، بحيث تعود هذه الاستنتاجات إلى وجود العقل.[٥],3.0,سبل ثال عند صرخ شخص ءمم فءن ندر ءنه غاضب، وهذا ناج بني شعر شعر شخص سه، بحث تعد ناج ءلى وجد عقل٥
إن لكل شيء فوائد، ولكن غالبًا ما يقابلها عيوب ومضار، وفيما يأتي توضيح لمزايا وعيوب الذكاء الاصطناعي:[٧],3.0,لكل شيء ءد، قبل عيب ضر، وفي يءت وضح لمز عيب ذكء اصطناعي٧
يستخدم الذكاء الاصطناعي في العديد من التطبيقات التكنولوجية والحياتية المهمة، والتي سهلت الكثير من مناحي الحياة وقامت بأداء وظائف مختلفة كانت مقتصرة على العقل البشري وحده،[٨] ومن أهم تطبيقات الذكاء الاصطناعي ما يأتي:[٩],5.0,خدم ذكء صطناع عدد طبق تكنولوجية حيت همة، والتي سهل كثر نحي حية وقم ءدء ظءف خلف كانت قصر عقل بشر حده،٨ ءهم طبق ذكء صطناع ءي٩
